date,day_of_week,month,is_weekend,is_festival,festival_name,store_id,store_name,store_locality,sku_id,product_name,category,mrp,sell_price,discount_pct,shelf_life_days,is_perishable,base_demand,demand_multiplier,units_sold,stock_ordered,waste_units,revenue,waste_cost
2024-01-01,0,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,1.2,61,58,0,2470.5,0.0
2024-01-02,1,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,42.75,5,4,1,48,1.0,47,48,1,2009.25,27.0
2024-01-03,2,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,36.0,20,4,1,48,1.0,52,65,13,1872.0,351.0
2024-01-04,3,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,38.25,15,4,1,48,1.0,58,54,0,2218.5,0.0
2024-01-05,4,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,45.0,0,4,1,48,1.0,46,42,0,2070.0,0.0
2024-01-06,5,1,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,36.0,20,4,1,48,2.1,97,97,0,3492.0,0.0
2024-01-07,6,1,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,36.0,20,4,1,48,2.4,142,170,28,5112.0,756.0
2024-01-08,0,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,36.0,20,4,1,48,1.2,64,63,0,2304.0,0.0
2024-01-09,1,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,38.25,15,4,1,48,1.0,44,48,4,1683.0,108.0
2024-01-10,2,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,45.0,0,4,1,48,1.0,51,60,9,2295.0,243.0
2024-01-11,3,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,42.75,5,4,1,48,1.0,44,56,12,1881.0,324.0
2024-01-12,4,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,1.0,44,54,10,1782.0,270.0
2024-01-13,5,1,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,42.75,5,4,1,48,2.1,104,108,4,4446.0,108.0
2024-01-14,6,1,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,2.4,82,113,31,3321.0,837.0
2024-01-15,0,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,38.25,15,4,1,48,1.2,42,39,0,1606.5,0.0
2024-01-16,1,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,1.0,43,40,0,1741.5,0.0
2024-01-17,2,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,45.0,0,4,1,48,1.0,40,48,8,1800.0,216.0
2024-01-18,3,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,36.0,20,4,1,48,1.0,50,63,13,1800.0,351.0
2024-01-19,4,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,38.25,15,4,1,48,1.0,41,39,0,1568.25,0.0
2024-01-20,5,1,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,2.1,79,74,0,3199.5,0.0
2024-01-21,6,1,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,36.0,20,4,1,48,2.4,140,184,44,5040.0,1188.0
2024-01-22,0,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,1.2,55,73,18,2227.5,486.0
2024-01-23,1,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,45.0,0,4,1,48,1.0,48,57,9,2160.0,243.0
2024-01-24,2,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,42.75,5,4,1,48,1.0,37,34,0,1581.75,0.0
2024-01-25,3,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,45.0,0,4,1,48,1.0,44,56,12,1980.0,324.0
2024-01-26,4,1,0,1,Republic Day,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,45.0,0,4,1,48,1.8,87,115,28,3915.0,756.0
2024-01-27,5,1,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,38.25,15,4,1,48,2.1,83,90,7,3174.75,189.0
2024-01-28,6,1,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,2.4,121,147,26,4900.5,702.0
2024-01-29,0,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,1.2,52,51,0,2106.0,0.0
2024-01-30,1,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,1.0,45,45,0,1822.5,0.0
2024-01-31,2,1,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,45.0,0,4,1,48,1.0,43,53,10,1935.0,270.0
2024-02-01,3,2,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,42.75,5,4,1,48,1.0,61,73,12,2607.75,324.0
2024-02-02,4,2,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,42.75,5,4,1,48,1.0,47,54,7,2009.25,189.0
2024-02-03,5,2,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,38.25,15,4,1,48,2.1,84,82,0,3213.0,0.0
2024-02-04,6,2,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,36.0,20,4,1,48,2.4,129,133,4,4644.0,108.0
2024-02-05,0,2,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,1.2,47,47,0,1903.5,0.0
2024-02-06,1,2,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,45.0,0,4,1,48,1.0,49,64,15,2205.0,405.0
2024-02-07,2,2,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,45.0,0,4,1,48,1.0,33,33,0,1485.0,0.0
2024-02-08,3,2,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,38.25,15,4,1,48,1.0,38,49,11,1453.5,297.0
2024-02-09,4,2,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,42.75,5,4,1,48,1.0,49,50,1,2094.75,27.0
2024-02-10,5,2,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,36.0,20,4,1,48,2.1,111,150,39,3996.0,1053.0
2024-02-11,6,2,1,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,40.5,10,4,1,48,2.4,118,157,39,4779.0,1053.0
2024-02-12,0,2,0,0,none,MUM001,Andheri West,andheri,SKU-59696,Tomatoes 1kg,Fruits & Vegetables,45,38.25,15,4,1,48,1.2,56,56,0,2142.0,0.0
